run_key,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100
main/cec2022_F01_D10/GA/default/0,907.0452864103956,7.735437958044145,0.8821784874542118,0.181677753543795,0.06596464447022754,0.058743476606707645,0.05260255940089564,0.030411277264875025,0.009457478284616627,0.007752868347154163,0.007752868347154163,0.007676317722200565,0.007676317722200565,0.007450423859268085,0.00344097001004684,0.0032027530305072105,0.0032027530305072105,0.0024072856987231717,0.002380350442535928,0.002380350442535928,0.0023420241332701153,0.0023420241332701153,0.0022862101184841777,0.0022862101184841777,0.002285340912976608,0.0021969176075344876,0.0021465471987198725,0.0015899716484000237,0.001152882819781098,0.001152882819781098,0.0010709351622608665,0.0007322826995164178,0.0007322826995164178,0.00040816031685153575,0.00040032631551412123,0.00025832699424199745,0.00025832699424199745,0.00023227643771406292,0.0002320774357258415,0.0002320774357258415,0.0002320774357258415,0.0002320774357258415,0.0002043436091980766,0.0002043436091980766,0.0002043436091980766,0.0002043436091980766,0.0002043436091980766,0.0001500994945331513,0.0001500994945331513,0.00013295182361616753,0.00013295182361616753,0.00013295182361616753,0.00012544364449240675,0.00011305579982945346,0.00011305579982945346,7.99151493424688e-05,7.093129590884928e-05,7.093129590884928e-05,7.093129590884928e-05,3.2803316059926146e-05,3.2803316059926146e-05,2.713311357638304e-05,2.713311357638304e-05,2.713311357638304e-05,1.9805547424311953e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.6918240078211966e-05,1.4771688995551813e-05,1.4746723479674984e-05,1.4746723479674984e-05,1.4557066037923505e-05,1.4557066037923505e-05,1.4557066037923505e-05,1.345507308769811e-05,1.3093356642457366e-05,1.3093356642457366e-05,1.3093356642457366e-05,1.3093356642457366e-05,1.3093356642457366e-05,7.738228930520563e-06,7.738228930520563e-06,7.738228930520563e-06,7.738228930520563e-06,6.394041122348426e-06,6.394041122348426e-06,4.189397316167742e-06,4.189397316167742e-06,4.189397316167742e-06,3.335384519687068e-06,2.6107805979336263e-06,2.5665682414910407e-06
main/cec2022_F01_D10/PSO/default/0,661.6337485724141,181.42405252844947,129.1729920855363,129.1729920855363,129.1729920855363,129.1729920855363,126.56826065125665,126.56826065125665,126.56826065125665,126.56826065125665,126.56826065125665,126.56826065125665,126.56826065125665,115.53500830293967,115.53500830293967,91.43621504595149,79.1589213841703,53.5290466793075,52.71200806796975,52.231630658750476,52.20151023349865,16.38448393019212,16.38448393019212,5.824257168617294,5.768154269049205,5.740904648537992,3.890391171437045,3.890391171437045,2.3328832281033556,1.7675157933684886,1.0154663953634326,0.04203386409841414,0.029596675837694875,0.01784395159535279,0.004911732769244281,0.0019285689397747774,0.0015398635393921722,0.0005602566645279694,0.00027343461607642894,5.151229288458126e-05,8.879237668679707e-06,5.558498003210843e-06,7.949927294248482e-07,9.747145668370649e-08,7.749179076199653e-09,8.270149010058958e-10,5.616129783447832e-11,1.0231815394945443e-12,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main/cec2022_F01_D10/CA/default/0,943.0089886034484,10.858571877510201,0.16867989543879958,0.007536659541017343,0.001000280537425624,0.00033522466338808954,9.88797092418281e-05,2.94774429789868e-05,1.3791618187042332e-05,1.942072117344651e-06,4.700963245340972e-07,1.278580157304532e-07,6.006439434713684e-08,2.374929408688331e-08,9.706184300739551e-09,2.114859398716362e-09,8.884057933755685e-10,3.794298208958935e-10,5.88897819397971e-11,2.5295321393059567e-11,8.58335624798201e-12,3.240074875066057e-12,1.0231815394945443e-12,3.410605131648481e-13,1.1368683772161603e-13,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main/cec2022_F01_D10/GWO/default/0,2947.8521355003563,1816.397270600819,1816.397270600819,1816.397270600819,1816.397270600819,1816.397270600819,1816.397270600819,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1589.1201499884692,1452.4770831685582,1452.4770831685582,1452.4770831685582,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,1025.0974829996749,955.074241759313,955.074241759313,955.074241759313,955.074241759313,901.5256351449996,845.8681691024069,811.3578296440478,501.69014307991415,373.18470352436884,202.96532727268703,202.96532727268703,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,60.340360332024034,33.33929493515922,33.33929493515922,33.33929493515922,29.652462446260188,29.652462446260188,18.901053573376203,18.901053573376203,18.901053573376203,13.403170996906965,13.403170996906965,6.078943330638708,6.078943330638708,5.811354319005261,4.340127154466927,0.6490784025178868,0.6490784025178868,0.5355416582807493,0.18659737701597123,0.00035301028651701927
main/cec2022_F01_D10/TFO-static/static/0,1529.7844854798336,943.6943852981422,555.0298301019761,252.67619070903083,157.13501147067427,123.68999213359689,123.68999213359689,88.32611923715945,83.19385357341474,69.4211016500787,69.4211016500787,69.40132425776108,46.04029647543058,46.04029647543058,27.49083850182194,26.563658859016414,26.194232670780423,25.00508131661536,25.00508131661536,25.00508131661536,14.400578374743645,14.400578374743645,12.192322896479368,12.192322896479368,12.181344251015787,12.181344251015787,9.676714333706855,9.099106170349728,9.07249331004357,9.07249331004357,6.785155525205369,6.785155525205369,6.785155525205369,6.785155525205369,6.785155525205369,6.705195926715703,6.602965449042415,6.602965449042415,6.602965449042415,6.084754306976606,6.084754306976606,6.084754306976606,5.993626673633287,5.555872234413982,5.135513162970426,4.603298849793134,3.5950002411183846,3.577590199375493,3.568528030029313,3.4774730600146313,3.4774730600146313,3.4774730600146313,2.313664877157805,1.9554987299261484,1.9554987299261484,1.9554987299261484,1.8674027762000378,1.8209928125136798,1.7014390387642493,1.7009521094037154,1.658468673031166,1.5324957971308208,1.5324957971308208,1.3336661033698078,1.3336661033698078,1.318796951121044,1.318796951121044,1.21069513546189,1.1713106720504811,1.0895451062443726,1.0895451062443726,1.0668754537161362,0.7368472727509356,0.7368472727509356,0.6370230835285611,0.5698404220268571,0.5653096103557118,0.5339421297414333,0.5339421297414333,0.5339421297414333,0.4661918521191524,0.4661918521191524,0.457731930561863,0.447540258249262,0.447540258249262,0.42904810031086527,0.3967498048939433,0.16799361555183623,0.11111169328506776,0.11111169328506776,0.10739035046066192,0.10701351442617124,0.10701351442617124,0.0872687847268594,0.08718893712489262,0.08708496671249577,0.08328038357825562,0.08226618342456504,0.07258337399053971,0.02829860133215334
main/cec2022_F01_D10/TFO/full/0,1529.7844854798336,943.6943852981422,555.0298301019761,252.67619070903083,157.13501147067427,123.68999213359689,49.73533097014308,49.73533097014308,31.812686951257433,20.681701014456962,20.681701014456962,7.5608510823349775,7.158167199368904,5.686934784886489,5.686934784886489,5.3197792138554405,5.3197792138554405,4.504641191057885,4.117301677990497,4.117301677990497,3.3451093496533986,3.3451093496533986,3.296195949563355,2.7431346882847834,2.7431346882847834,2.668328692608327,2.451511382488775,2.451511382488775,2.451511382488775,1.2664099791588228,1.2664099791588228,1.2565380746256096,1.2565380746256096,1.2293948086596629,1.2258199497362625,1.127289028495568,1.127289028495568,1.127289028495568,1.127289028495568,1.0688279293606797,1.0593314805157092,1.0253394031527705,1.0253394031527705,0.9050367141866786,0.9050367141866786,0.9050367141866786,0.9002858586226239,0.7050388243076213,0.6015920740480283,0.6015920740480283,0.6015920740480283,0.442286417143805,0.442286417143805,0.38558603137221326,0.36264888917401095,0.36264888917401095,0.36264888917401095,0.36264888917401095,0.26767835802712625,0.2673879660337093,0.2673879660337093,0.2673879660337093,0.2673879660337093,0.22983986894007558,0.19241076992261696,0.19217998713816087,0.1899451964812897,0.1701726613612209,0.1701726613612209,0.1701726613612209,0.1701726613612209,0.16405110661361277,0.12486867591212558,0.12486867591212558,0.12486867591212558,0.10614956692126043,0.10614956692126043,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.05779268270475768,0.03600319531420837,0.03600319531420837,0.03600319531420837,0.035878170627654526,0.03476770503834814,0.03476770503834814,0.025595537439414784,0.025595537439414784,0.025595537439414784,0.025087897694106687,0.025087897694106687,0.02497577494369807,0.02485024227945587,0.023499353553802393,0.023499353553802393
main/cec2022_F01_D10/CMA-ES (IPOP)/default/0,9.894580443869927e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main/cec2022_F01_D10/WOA/default/0,15174.518973084398,9470.383219968486,6487.977568675533,3961.5653136882465,2953.3027511561017,2477.645752109229,2238.0643668537737,1993.5139160880299,1829.3841671451755,1749.3952434616258,865.4941327290283,198.5819446508557,109.61540640235432,87.5349947709343,37.01555977843316,20.291040773333123,12.351667688026225,1.1773418169397587,0.30830180289626696,0.12715936826498364,0.06065375304496001,0.0506698876196765,0.04373026416669745,0.03680810004556179,0.0046673135220771655,0.003828583626557247,0.002019550716966023,0.00038776418301722515,0.0001335634385100093,6.298757978129288e-05,3.721203358963976e-05,1.4336003744119807e-05,1.3819889147725917e-05,1.3633309777105751e-05,1.342167786333448e-05,1.3330282399692805e-05,2.7815224257210502e-06,8.127845489980245e-07,6.469093136729498e-07,6.080726961954497e-07,2.791147721836751e-07,1.3297420764502021e-07,4.1094949665421154e-08,3.6266214920033235e-08,3.610949761423399e-08,3.606754717111471e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.606595555538661e-08,3.603508957894519e-08,3.587888386391569e-08,2.7251076062384527e-08,1.3557155398302712e-08,7.893390829849523e-09,4.194532721157884e-09,2.1445885067805648e-09,1.8674768398341257e-09,1.6332251107087359e-09,5.7053739510593e-10,2.8040858524036594e-10,1.6001422409317456e-10,1.5995738067431375e-10,1.595594767422881e-10,1.595594767422881e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10,1.426201379217673e-10
main/cec2022_F01_D10/L-SHADE/default/0,8438.34527928299,3867.13003748385,2925.4010558139976,1639.0324224734918,415.2880035065614,66.41030126867872,18.429818625983046,3.810271120263508,0.45536210222763884,0.06802502347608197,0.005221526083005301,0.0015155638863575405,0.000164002548103781,5.0734892852233315e-05,9.114877627780515e-06,1.4290668559624464e-06,2.2187634840520332e-07,4.439340273165726e-08,1.1324971183057642e-08,1.0688268048397731e-09,1.8309265215066262e-10,3.871036824421026e-11,3.126388037344441e-12,5.115907697472721e-13,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main/cec2022_F01_D10/GA/default/1,20.802560724723207,2.6670531129935853,0.3142312815749051,0.1862017781711529,0.071272226298845,0.055141259215758964,0.040316686211951946,0.018744352628118577,0.016304900390196053,0.016304900390196053,0.00725310687352021,0.002638852301231509,0.002638852301231509,0.0022090086031880674,0.002077233051750227,0.0019764646504540906,0.0015968909135608556,0.0015968909135608556,0.0015968909135608556,0.001100768024741683,0.0010955467453754864,0.0010955467453754864,0.000780252627180289,0.000780252627180289,0.000780252627180289,0.0007211337227772674,0.0007211337227772674,0.0007211337227772674,0.0007211337227772674,0.0006410803718495117,0.0005659528659407442,0.0003089120345975971,0.0003089120345975971,0.0002990854114841568,0.0002990691575064375,0.0002990691575064375,0.0002990691575064375,0.0002990691575064375,0.0002990691575064375,0.0002990691575064375,0.0002990691575064375,0.00013563271124894527,0.00013563271124894527,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,8.780066355029703e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.99503563939652e-05,7.126938265855642e-05,7.126938265855642e-05,7.126938265855642e-05,7.126938265855642e-05,2.4119337979300326e-05,2.4119337979300326e-05,2.4119337979300326e-05,2.4119337979300326e-05,2.4119337979300326e-05,2.3975519866326067e-05,2.3975519866326067e-05,2.3975519866326067e-05,2.3975519866326067e-05,2.3975519866326067e-05,2.3975519866326067e-05,1.896732089790021e-05,1.8868269478389266e-05,1.072606232810358e-05,1.072606232810358e-05,1.072606232810358e-05,1.072606232810358e-05,1.0564300225723855e-05,6.3037805375643075e-06,6.3037805375643075e-06,4.8398889020973e-06,4.8398889020973e-06,4.8398889020973e-06,4.792007587184344e-06,2.062850057882315e-06,2.062850057882315e-06,2.0469695982683334e-06,2.037723106695921e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06,1.2728474985124194e-06
