run_key,tag,evals
main/cec2017_F01_D30/TFO-static/static/0,init,30
main/cec2017_F01_D30/TFO-static/static/0,sweeper_keeper,0
main/cec2017_F01_D30/TFO-static/static/0,zonal_centre_back,32462
main/cec2017_F01_D30/TFO-static/static/0,overlapping_wing_back,16980
main/cec2017_F01_D30/TFO-static/static/0,deep_lying_playmaker,6869
main/cec2017_F01_D30/TFO-static/static/0,box_to_box,26477
main/cec2017_F01_D30/TFO-static/static/0,destroyer,11158
main/cec2017_F01_D30/TFO-static/static/0,virtuoso,74469
main/cec2017_F01_D30/TFO-static/static/0,finisher,5263
main/cec2017_F01_D30/TFO-static/static/0,formation,0
main/cec2017_F01_D30/TFO-static/static/0,rotation,0
main/cec2017_F01_D30/TFO-static/static/0,possession,10974
main/cec2017_F01_D30/TFO-static/static/0,pressing,113393
main/cec2017_F01_D30/TFO-static/static/0,counter_attack,135
main/cec2017_F01_D30/TFO-static/static/0,set_pieces,1790
main/cec2017_F01_D30/TFO-static/static/0,offside,0
main/cec2017_F01_D30/TFO-static/static/0,substitutions,0
main/cec2017_F01_D30/TFO-static/static/0,fatigue,0
main/cec2017_F01_D30/TFO-static/static/0,var_review,0
main/cec2017_F01_D30/TFO-static/static/0,manager,0
main/cec2017_F01_D30/TFO-static/static/0,neutral,0
main/cec2017_F01_D30/TFO/full/0,init,30
main/cec2017_F01_D30/TFO/full/0,sweeper_keeper,0
main/cec2017_F01_D30/TFO/full/0,zonal_centre_back,33440
main/cec2017_F01_D30/TFO/full/0,overlapping_wing_back,16301
main/cec2017_F01_D30/TFO/full/0,deep_lying_playmaker,11141
main/cec2017_F01_D30/TFO/full/0,box_to_box,23842
main/cec2017_F01_D30/TFO/full/0,destroyer,15628
main/cec2017_F01_D30/TFO/full/0,virtuoso,64560
main/cec2017_F01_D30/TFO/full/0,finisher,10491
main/cec2017_F01_D30/TFO/full/0,formation,0
main/cec2017_F01_D30/TFO/full/0,rotation,0
main/cec2017_F01_D30/TFO/full/0,possession,11295
main/cec2017_F01_D30/TFO/full/0,pressing,111292
main/cec2017_F01_D30/TFO/full/0,counter_attack,135
main/cec2017_F01_D30/TFO/full/0,set_pieces,1845
main/cec2017_F01_D30/TFO/full/0,offside,0
main/cec2017_F01_D30/TFO/full/0,substitutions,0
main/cec2017_F01_D30/TFO/full/0,fatigue,0
main/cec2017_F01_D30/TFO/full/0,var_review,0
main/cec2017_F01_D30/TFO/full/0,manager,0
main/cec2017_F01_D30/TFO/full/0,neutral,0
main/cec2017_F01_D30/TFO/full/1,init,30
main/cec2017_F01_D30/TFO/full/1,sweeper_keeper,0
main/cec2017_F01_D30/TFO/full/1,zonal_centre_back,33248
main/cec2017_F01_D30/TFO/full/1,overlapping_wing_back,19535
main/cec2017_F01_D30/TFO/full/1,deep_lying_playmaker,6160
main/cec2017_F01_D30/TFO/full/1,box_to_box,26679
main/cec2017_F01_D30/TFO/full/1,destroyer,12451
main/cec2017_F01_D30/TFO/full/1,virtuoso,66157
main/cec2017_F01_D30/TFO/full/1,finisher,8599
main/cec2017_F01_D30/TFO/full/1,formation,0
main/cec2017_F01_D30/TFO/full/1,rotation,0
main/cec2017_F01_D30/TFO/full/1,possession,11228
main/cec2017_F01_D30/TFO/full/1,pressing,113943
main/cec2017_F01_D30/TFO/full/1,counter_attack,135
main/cec2017_F01_D30/TFO/full/1,set_pieces,1834
main/cec2017_F01_D30/TFO/full/1,offside,0
main/cec2017_F01_D30/TFO/full/1,substitutions,1
main/cec2017_F01_D30/TFO/full/1,fatigue,0
main/cec2017_F01_D30/TFO/full/1,var_review,0
main/cec2017_F01_D30/TFO/full/1,manager,0
main/cec2017_F01_D30/TFO/full/1,neutral,0
main/cec2017_F01_D30/TFO-static/static/1,init,30
main/cec2017_F01_D30/TFO-static/static/1,sweeper_keeper,0
