schema_version,run_key,experiment,suite,cell_id,function_id,dim,algorithm,variant_id,config_hash,run,seed,budget,evals_used,evals_internal,status,best_f,f_star,error,max_violation,wall_time_s,objective_time_s,n_iterations,n_state_transitions,occ_build_up,occ_control,occ_high_press,occ_chasing,n_counter_attacks,n_substitutions,n_var_rollbacks,n_set_pieces,final_possession_rate
1,main/cec2017_F01_D30/GWO/default/8,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,8,1476865150,300000,300000,,ok,2028078958.1786802,100.0,2028078858.1786802,,2.057143019000023,0.691154653,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/7,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,7,1977259102,300000,300000,,ok,4290.7421960849915,100.0,4190.7421960849915,,147.438065282,25.353622452,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/8,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,8,1476865150,300000,300000,300000,ok,647400.9816992469,100.0,647300.9816992469,,61.07664064100001,14.779616204,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/7,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,7,1977259102,300000,300000,,ok,100.0,100.0,0.0,,238.994648584,18.88790586,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/8,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,8,1476865150,300000,300000,,ok,100.00000000000001,100.0,1.4210854715202004e-14,,107.97053223200004,1.357081605,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/8,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,8,1476865150,300000,300000,,ok,1474.2957383609291,100.0,1374.2957383609291,,146.092683917,21.771975002,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/9,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,9,143732145,300000,300000,,ok,7128.936203040485,100.0,7028.936203040485,,12.050019410000004,1.679121466,,,,,,,,,,,
1,main/cec2017_F01_D30/GA/default/9,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,9,143732145,300000,300000,,ok,706.6878518339452,100.0,606.6878518339452,,4.228890148000005,0.75754569,,,,,,,,,,,
1,main/cec2017_F01_D30/PSO/default/9,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,9,143732145,300000,300000,,ok,58213358388.48181,100.0,58213358288.48181,,1.4423412360000043,0.614992979,,,,,,,,,,,
1,main/cec2017_F01_D30/GWO/default/9,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,9,143732145,300000,300000,,ok,2384929.4691078505,100.0,2384829.4691078505,,1.9851784340000336,0.654606621,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/9,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,9,143732145,300000,300000,300000,ok,5631208.558915618,100.0,5631108.558915618,,60.896762306,15.253800688,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/9,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,9,143732145,300000,300000,300000,ok,5315600.67149316,100.0,5315500.67149316,,64.25065298999999,15.720599576,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/9,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,9,143732145,300000,300000,,ok,167.12851488125244,100.0,67.12851488125244,,119.26939529900001,18.91914361,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/9,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,9,143732145,300000,300000,,ok,100.00000000000003,100.0,2.842170943040401e-14,,102.78134375100001,1.628796694,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/8,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,8,1476865150,300000,300000,,ok,100.00000000000001,100.0,1.4210854715202004e-14,,202.598031257,15.90753671,,,,,,,,,,,
1,main/cec2017_F03_D30/TFO/full/0,main,cec2017,cec2017_F03_D30,F03,30,TFO,full,,0,1433851434,300000,300000,300000,ok,3241.9100596298126,300.0,2941.9100596298126,,87.01669332499998,25.065475939,,,,,,,,,,,
1,main/cec2017_F03_D30/GA/default/0,main,cec2017,cec2017_F03_D30,F03,30,GA,default,,0,1433851434,300000,300000,,ok,410.0666764195965,300.0,110.06667641959649,,4.466374949999988,0.93663456,,,,,,,,,,,
1,main/cec2017_F03_D30/PSO/default/0,main,cec2017,cec2017_F03_D30,F03,30,PSO,default,,0,1433851434,300000,300000,,ok,303.7431653237752,300.0,3.7431653237752016,,1.6325870579999844,0.797813013,,,,,,,,,,,
1,main/cec2017_F03_D30/CA/default/0,main,cec2017,cec2017_F03_D30,F03,30,CA,default,,0,1433851434,300000,297924,,self_terminated,300.000046209739,300.0,4.620973902547121e-05,,11.677465845,1.882691057,,,,,,,,,,,
1,main/cec2017_F03_D30/GWO/default/0,main,cec2017,cec2017_F03_D30,F03,30,GWO,default,,0,1433851434,300000,300000,,ok,58362.8040794112,300.0,58062.8040794112,,2.332737162000001,0.88091776,,,,,,,,,,,
1,main/cec2017_F03_D30/TFO-static/static/0,main,cec2017,cec2017_F03_D30,F03,30,TFO-static,static,,0,1433851434,300000,300000,300000,ok,3999.05113698138,300.0,3699.05113698138,,67.87329538699998,19.999505733,,,,,,,,,,,
